level	venture	duration	exp	cost	gathering	items
Lv. 50	Woodland Exploration XI	18h	288000	2	230	Allagan Silver Piece, Blue Fox Hide, Prickly Pineapple, Silkworm Cocoon, Spruce Log, Thavnairian Mistletoe
Lv. 50	Woodland Exploration XII	18h	288000	2	238	Allagan Silver Piece, Dzemael Tomato, Mossy Stone Axe, Mossy Stone Cannon, Silkworm Cocoon, Thavnairian Mistletoe, Trillium
Lv. 50	Woodland Exploration XIII	18h	288000	2	285	Allagan Silver Piece, Silkworm Cocoon, Trillium
Lv. 50	Woodland Exploration XIV	18h	288000	2	286	Allagan Silver Piece, Black Truffle, Floss Silk, Littlefoot, Silkworm Cocoon, Thavnairian Mistletoe, Weathered Tome
Lv. 50	Woodland Exploration XV	18h	288000	2	292	La Noscean Leek, Littlefoot, Shroud Tea Leaves
Lv. 50	Woodland Exploration XVI	18h	288000	2	294	Dzemael Tomato, Floss Silk, La Noscean Leek, Littlefoot, Shroud Tea Leaves
Lv. 51	Woodland Exploration XVII	18h	422400	2	311	Allagan Silver Piece, Bamboo Stick, Ebony Log, Floss Silk, Fragrant Log, Littlefoot, Waterfowl Feather
Lv. 55	Woodland Exploration XVIII	18h	998400	2	388	Allagan Silver Piece, Cypress Log, Floss Silk, Fragrant Log, Littlefoot, Lupin Seedling, Redolent Log, Rosemary
Lv. 60	Woodland Exploration XIX	18h	1490000	2	486	Abalathian Mistletoe, Allagan Silver Piece, Cloud Banana, Dravanian Mistletoe, Floss Silk, Grade 1 Dexterity Dissolvent, Lupin Seedling, Morel, Odder Otter, Porcini
Lv. 61	Woodland Exploration XX	18h	1772000	2	700	Allagan Silver Piece, Bamboo Shoot, Kudzu Root, Larch Log, Mountain Popoto, Odder Otter, Sugar Beet
Lv. 65	Woodland Exploration XXI	18h	2858333	2	739	Allagan Silver Piece, Jhammel Ginger, Odder Otter, Othardian Plum, Persimmon Log, Twincoon, Zelkova Log
Lv. 70	Woodland Exploration XXII	18h	0	2	805	Allagan Silver Piece, Hallowed Basil, Jhammel Ginger, Koala Joey, Larch Log, Lotus Root, Odder Otter, Persimmon Log, Zelkova Log
Lv. 10	Waterside Exploration III	18h	39333	2	21	Allagan Bronze Piece, Lominsan Sparkler
Lv. 15	Waterside Exploration IV	18h	67778	2	33	Allagan Bronze Piece, Razor Clam, Rothlyt Oyster
Lv. 20	Waterside Exploration V	18h	80857	2	45	Aldgoat Brown Dye, Allagan Bronze Piece, Black Eel, Lominsan Sparkler
Lv. 25	Waterside Exploration VI	18h	100211	2	57	Allagan Bronze Piece, Craftsman's Command Materia I, Hammerhead Shark, Ochu Green Dye, Othard Blue Dye
Lv. 30	Waterside Exploration VII	18h	135417	2	64	Allagan Bronze Piece, Ash Tuna, Fullmoon Sardine, Gatherer's Grasp Materia II, Sunset Orange Dye
Lv. 35	Waterside Exploration VIII	18h	160221	2	77	Allagan Bronze Piece, Craftsman's Competence Materia II, Red Coral, Velodyna Carp
Lv. 40	Waterside Exploration IX	18h	190588	2	92	Allagan Bronze Piece, Blacklip Oyster, Celeste Green Dye, Gatherer's Guile Materia II, Silver Shark
Lv. 45	Waterside Exploration X	18h	209333	2	104	Allagan Bronze Piece, Cloud Cutter, Craftsman's Competence Materia III, Northern Pike
Lv. 50	Waterside Exploration XI	18h	288000	2	180	Allagan Silver Piece, Giant Catfish, Honey Lemon, Prickly Pineapple
Lv. 50	Waterside Exploration XII	18h	288000	2	184	Allagan Silver Piece, Faded Tome, Giant Catfish, Honey Lemon, Mahi-Mahi
Lv. 50	Waterside Exploration XIII	18h	288000	2	186	Allagan Silver Piece, Giant Catfish, Honey Lemon, Light Steel Plate, Mahi-Mahi, Minute Mindflayer, Taffeta Cloth
Lv. 50	Waterside Exploration XIV	18h	288000	2	200	Allagan Silver Piece, Faded Tome, Fat Cat, Giant Catfish, Honey Lemon, Mahi-Mahi, Young Water Lily
Lv. 50	Waterside Exploration XV	18h	288000	2	207	Allagan Silver Piece, Fat Cat, Giant Catfish, Mahi-Mahi, Megalodon, Raziqsand, Takitaro, Young Water Lily
Lv. 50	Waterside Exploration XVI	18h	288000	2	216	Emery, Emperor Fish, Fat Cat, Giant Catfish, Megalodon, Raziqsand, Takitaro
Lv. 51	Waterside Exploration XVII	18h	422400	2	228	Aetherlouse, Emperor Fish, Fat Cat, Mossy Stone Globe, Olgoi-Khorkhoi, Silver Sovereign, Worm of Nym
Lv. 55	Waterside Exploration XVIII	18h	998400	2	312	Aetherlouse, Emperor Fish, Fat Cat, Gestahl, Gigant Clam, Olgoi-Khorkhoi, Silver Sovereign, Worm of Nym
Lv. 60	Waterside Exploration XIX	18h	1490000	2	393	Allagan Silver Piece, Coerthan Crab, Fanged Clam, Fat Cat, Gestahl, Grade 1 Intelligence Dissolvent, Grade 1 Mind Dissolvent, Lake Urchin, Odder Otter, Pipira Pira
Lv. 61	Waterside Exploration XX	18h	1772000	2	600	Allagan Silver Piece, Heather Charr, Odder Otter, Sea Pickle
Lv. 65	Waterside Exploration XXI	18h	2858333	2	633	Allagan Silver Piece, Koromo Octopus, Motley Beakfish, Odder Otter, Sea Lamp, Spiny Lobster, Steppe Bullfrog
Lv. 70	Waterside Exploration XXII	18h	0	2	690	Axolotl Eft, Curtain Pleco, Eastern Sea Pickle, Highland Perch, Koromo Octopus, Odder Otter, Sea Lamp, Spiny Lobster
