node_id	times	uptime	coords	area	type
317	6, 18	120	35, 21	The House of Letters	Unspoiled
318	10, 22	120	7, 7	Coldwind	Unspoiled
319	2, 14	120	35, 30	The Daggers	Unspoiled
320	0, 12	120	23, 5	Beta Quadrant	Unspoiled
321	0, 12	120	37, 16	Hemlock	Legendary
323	2, 14	120	11, 38	Mother of the Sheave	Legendary
324	4, 16	120	35, 39	The Nidifice	Legendary
325	6, 18	120	11, 16	The Answering Quarter	Legendary
326	10, 22	120	35, 16	Habisphere Control	Legendary
327	20	240	26, 35	Voor Sian Siran	Ephemeral
329	0	240	10, 14	Twinpools	Ephemeral
331	8	240	10, 32	Avalonia Fallen	Ephemeral
333	16	240	20, 30	Four Arms	Ephemeral
335	20	240	23, 12	The Blue Window	Ephemeral
337	4	240	13, 19	The Answering Quarter	Ephemeral
339	10, 22	120	31, 20	Black Iron Bridge	Unspoiled
340	2, 14	120	27, 14	Chocobo Forest	Unspoiled
341	0, 12	120	25, 6	Easton Eyes	Unspoiled
342	6, 18	120	34, 19	Vundu Ok' Bendu	Unspoiled
343	4, 16	120	19, 36	The Ruling Quarter	Unspoiled
344	8, 20	120	8, 9	Dragonspit	Unspoiled
345	6, 18	120	23, 21	The Watcher	Legendary
347	4, 16	120	16, 36	The Lost Landlord	Legendary
348	0, 12	120	24, 6	The Gauntlet	Legendary
349	10, 22	120	39, 26	The Daggers	Legendary
350	2, 14	120	22, 8	Alpha Quadrant	Legendary
392	16	240	32, 32, 1	Eil Tohm	Ephemeral
395	8, 20	120	11, 10	Weston Waters	Legendary
397	8, 20	120	38, 14	Hengr's Crucible	Legendary
492	20	240	37, 19	Unseen Spirits Laughing	Ephemeral
494	0	240	13, 16	The High Bank	Ephemeral
496	12	240	29, 15	Onsal Hakair	Ephemeral
497	2, 14	120	24, 7	The Striped Hills	Unspoiled
498	0, 12	120	15, 5	Ten-thousand-year Pine	Unspoiled
499	8, 20	120	26, 13	Rustrock	Unspoiled
500	6, 18	120	30, 9	Valley of the Fallen Rainbow	Unspoiled
501	4, 16	120	5, 27	The Towering Still	Unspoiled
502	0, 12	120	21, 29	Loch Seld	Unspoiled
503	10, 22	120	16, 34	Wightrock	Legendary
504	4, 16	120	20, 10	Monzen	Legendary
515	4	240	28, 10	Abalathia's Skull	Ephemeral
518	16	240	22, 13	Doma	Ephemeral
520	8	240	16, 28	Nhaama's Retreat	Ephemeral
521	6, 18	120	10, 20	East End	Unspoiled
522	10, 22	120	30, 26	Kusakari	Unspoiled
523	2, 14	120	27, 16	Onsal Hakair	Unspoiled
524	6, 18	120	23, 16	Rustrock	Unspoiled
525	8, 20	120	28, 8	Valley of the Fallen Rainbow	Unspoiled
526	4, 16	120	7, 10	The Royal Hunting Grounds	Unspoiled
527	6, 18	120	11, 12	Stacks	Legendary
528	0, 12	120	20, 10	Ceol Aen	Legendary
535	6, 18	120	11, 22	The Isle of Zekki	Legendary
536	8, 20	120	24, 37	Nhaama's Retreat	Legendary
537	4, 16	120	15, 21	Pike Falls	Legendary
538	2, 14	120	24, 36	Mount Yorn	Legendary
555	0, 12	120	27, 30	Virdjala	Legendary
556	10, 22	120	24, 12	The Divine Audience	Legendary
557	4, 16	120	33, 10	Sleeping Stones	Legendary
558	2, 14	120	28, 34	Castrum Fluminis	Legendary
